,,,,,,,,,,,,,,,,,,,,,,
,violet,,yellow,,white,,blue,,green,,red,,IR,,Violet voltage,Violet current,,,,,,
,1.58 -0.50 ,,1.02 -0.10 ,,3.12 25.00 ,,2.31 -0.20 ,,2.01 20.70 ,,2.08 22.00 ,,0.82 -0.30 ,,2.86,0,,,,,,
,1.60 -0.10 ,,1.02 -0.30 ,,3.14 26.40 ,,2.33 0.00 ,,2.02 25.50 ,,2.10 24.30 ,,0.83 -0.10 ,,2.88,0,,,,,,
,1.62 -0.30 ,,1.02 -0.10 ,,3.16 27.70 ,,2.35 0.00 ,,2.04 31.20 ,,2.12 26.10 ,,0.84 -0.40 ,,2.89,0.1,,,,,,
,1.64 -0.30 ,,1.02 -0.10 ,,3.18 29.10 ,,2.38 -0.10 ,,2.05 36.60 ,,2.14 28.20 ,,0.85 -0.40 ,,2.9,0.2,,,,,,
,1.67 -0.30 ,,1.02 -0.30 ,,3.20 30.80 ,,2.40 0.00 ,,2.05 41.70 ,,2.15 30.50 ,,0.86 -0.20 ,,2.92,0.5,,,,,,
,1.69 0.00 ,,1.02 -0.30 ,,3.21 32.00 ,,2.42 0.10 ,,2.06 48.00 ,,2.18 33.50 ,,0.88 -0.20 ,,2.94,0.6,,,,,,
,1.72 0.00 ,,1.02 -0.30 ,,3.23 33.60 ,,2.44 0.10 ,,2.06 54.20 ,,2.19 35.90 ,,0.89 -0.30 ,,2.95,0.8,,,,,,
,1.74 -0.30 ,,1.02 -0.10 ,,3.25 35.00 ,,2.46 0.00 ,,2.08 62.10 ,,2.21 38.60 ,,0.90 -0.10 ,,2.97,1.2,,,,,,
,1.76 -0.10 ,,1.02 -0.20 ,,3.26 36.50 ,,2.48 0.00 ,,2.08 69.90 ,,2.22 41.30 ,,0.92 -0.30 ,,2.98,1.7,,,,,,
,1.78 -0.20 ,,1.02 -0.10 ,,3.28 37.70 ,,2.50 -0.10 ,,2.08 78.80 ,,2.24 43.90 ,,0.94 0.00 ,,3,2.2,,,,,,
,1.81 -0.10 ,,1.02 0.00 ,,3.30 39.30 ,,2.52 0.10 ,,2.09 84.90 ,,2.25 47.20 ,,0.96 0.10 ,,3.02,2.6,,,,,,
,1.83 -0.30 ,,1.02 -0.30 ,,3.32 41.70 ,,2.54 0.20 ,,2.09 92.90 ,,2.27 50.40 ,,0.97 -0.20 ,,3.03,3.7,,,,,,
